text,label,notes
"In a quiet corner of North Carolina, bees produce a violet-hued honey so rare and unpredictable that even experts can't explain it – and that's what makes it magical.","ADEQUATE_DATA_PLUS, DATA_PROVEN_FACTUAL_PLUS",
"""There were about four bodies on the shores.",OMITTED_DATA_OUT,
"For example, 88,000 cheaper Indian cars will now be able to be imported tariff free.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"Anna Kwok's father and brother have been accused of helping the US-based pro-democracy activist with her finances, local media report.",,
BBC News archive footage tells the extraordinary story of the smoke signal confusion of the 1958 Conclave.,"DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"From Korea's doenjang and gochujang to Hong Kong's XO sauce and East Asia's fish sauce, Asian cuisines provide hundreds of ways to flavour and season dishes.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"Floating in the middle of a Norwegian fjord, Restaurant Iris takes diners on an 'experiential dining' journey.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"The conservative leader is sworn in, having won a parliament vote to become chancellor at the second attempt.","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
"""Yes, of course, [the Ukrainians] are angry that they were invaded,"" VP Vance told Fox News last week.","FALSEHOOD_OUT, OMITTED_DATA_OUT, CONTRARY_FACTS_OUT",
"Canada 'not for sale, ever', Carney warns as Trump touts benefits of becoming 51st US state","DATA_PROVEN_FACTUAL_PLUS, ADEQUATE_DATA_PLUS",
Vladimir Putin had called for a three-day ceasefire to coincide with a large parade planned in Moscow.,,
"We left at a time when we had a good candidate.""",,
"Secretary Duffy said the outage was ""a sign that we have a frail system in place, and it has to be fixed"".",,
"The sweltering heat during Buddhist New Year calls for Thailand's cooling khao chae, a fragrant and refreshing bowl of rice delicately scented with flowers.",,
"In more recent years, tensions surged after militant attacks: India launched âsurgical strikesâ in 2016 after the Uri attack and conducted airstrikes near Balakot in 2019 following the Pulwama bombing.",,
"Home to three Michelin-starred restaurants and a royal gingerbread legacy, the unassuming Lancashire town of Ormskirk is fast becoming the UK's most delicious destination.",,
It’s also championed by the king of the Jaisalmer royal family.,,
"This is the worlds fifth and sixth biggest economies doing a much closer deal to increase trade at a time when the top two - the US and China - are involved in a brutal trade war, and the Trump administration is tariffing everywhere.",,
"At Michelin-starred Semma, chef Vijay Kumar brings deeply personal dishes from his childhood to the plate.",,
"Russian attack on Kyiv kills two, hours before Putin-announced ceasefire due to start",,
It has long been the great prize for Britain's post-EU trade freedom - a deal with what is now the world's most populous country.,,
"""I won't say I love the money I make - because as a mother I can't be happy when I see bad things happening to other women's children,"" she told the BBC.",,
He celebrated the 100-day milestone with a triumphant speech last week.,,
The BBC saw a room in a block of flats that was being used as a holding house.,,
Air traffic control operations at the airport in New Jersey have come under sustained criticism recently.,,
"""Smugglers keep lying to the families saying their people are alive, and they keep on sending money,"" she acknowledged.",,
"At Icca, Japanese sushi master chef Kazushige Suzuki blends ancient methods with other cuisines.",,
"""They were about 300m [984ft] into the water when their boat overturned, resulting in the deaths of seven people.""",,
Biden was also asked about comments from the Trump administration suggesting Kyiv must give up some territory in order to secure a peace deal that would put an end to fighting.,,
From an absurd papal edict to the horrors of Nazism: the mysterious origin of a pie.,,
Are they a viable solution to range anxiety?,,
"""It is modern-day appeasement,"" Biden said on Monday, a reference to the policy of former British Prime Minister Neville Chamberlain, who sought in the late 1930s to appease Adolf Hitler's demands in a failed attempt to avoid a catastrophic all-out war in Europe.",,
"He also said he feared some countries in the Nato alliance that border Russia may ""just say we've got to make an accommodation"" to Putin if Ukraine ultimately gives up land.",,
"Shortlisted for the prestigious James Beard Award, Dept of Culture only has one table, and it's sold out.",,
"Newly-released audio reveals the moment air traffic controllers at one of New York's busiest airports lost communications with planes under their control - leaving one pilot asking, ""Approach, are you there?",,
"The female smuggler said in her experience some of the migrants settled in Kenya, but others used the country as a transit point to reach Uganda, Rwanda and South Africa, believing it easier to get refugee status there.",,
"The online marketplace says it will move to a ""local fulfillment model"" in the US, with sales handled by locally based sellers.",,
"The president signed the bill after Congress voted on it, but the vote actually happened before he signed it.",ALTERED_SEQUENCE_OUT,Synthetic example 1 for Round 2 data enhancement
"First they arrested the suspect, then they gathered evidence, but evidence collection should come before arrest.",ALTERED_SEQUENCE_OUT,Synthetic example 2 for Round 2 data enhancement
The company announced profits before releasing the quarterly report that showed the profits.,ALTERED_SEQUENCE_OUT,Synthetic example 3 for Round 2 data enhancement
The witness testified about events that happened after the trial concluded.,ALTERED_SEQUENCE_OUT,Synthetic example 4 for Round 2 data enhancement
The investigation focused on the accountant when the real issue was with the CEO's decisions.,WRONG_TARGET_OUT,Synthetic example 1 for Round 2 data enhancement
Critics blamed the teacher for poor test scores when the problem was inadequate school funding.,WRONG_TARGET_OUT,Synthetic example 2 for Round 2 data enhancement
The report criticized the local police when the crime was actually federal jurisdiction.,WRONG_TARGET_OUT,Synthetic example 3 for Round 2 data enhancement
Management fired the sales team for poor performance when the real issue was defective products.,WRONG_TARGET_OUT,Synthetic example 4 for Round 2 data enhancement
The man in the suit must be the lawyer since he was carrying a briefcase.,ASSUMED_IDENTITIES_NOT_IDENTICAL_OUT,Synthetic example 1 for Round 2 data enhancement
"She spoke with an accent, so she's probably not from here originally.",ASSUMED_IDENTITIES_NOT_IDENTICAL_OUT,Synthetic example 2 for Round 2 data enhancement
The person driving the expensive car is obviously wealthy and successful.,ASSUMED_IDENTITIES_NOT_IDENTICAL_OUT,Synthetic example 3 for Round 2 data enhancement
"Since he works in IT, he must be good with all types of technology.",ASSUMED_IDENTITIES_NOT_IDENTICAL_OUT,Synthetic example 4 for Round 2 data enhancement
The weather report included information about traffic conditions and restaurant reviews.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 1 for Round 2 data enhancement
The medical study on heart disease included data about participants' favorite movies.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 2 for Round 2 data enhancement
The financial report contained details about the CEO's personal hobbies and vacation plans.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 3 for Round 2 data enhancement
The safety manual included instructions for cooking recipes and gardening tips.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 4 for Round 2 data enhancement
Breaking: Major earthquake hits populated area - thousands evacuated immediately.,CORRECT_RELATIVE_IMPORTANCE_PLUS,Synthetic example 1 for Round 2 data enhancement
URGENT: New safety recall affects 2 million vehicles due to brake failure risk.,CORRECT_RELATIVE_IMPORTANCE_PLUS,Synthetic example 2 for Round 2 data enhancement
Critical update: Hospital reports successful treatment for rare disease affecting children.,CORRECT_RELATIVE_IMPORTANCE_PLUS,Synthetic example 3 for Round 2 data enhancement
Important: New study shows significant breakthrough in cancer treatment effectiveness.,CORRECT_RELATIVE_IMPORTANCE_PLUS,Synthetic example 4 for Round 2 data enhancement
The building has three floors and was constructed in 1995.,NEUTRAL,Synthetic example 1 for Round 2 data enhancement
The meeting is scheduled for Tuesday at 2 PM in conference room B.,NEUTRAL,Synthetic example 2 for Round 2 data enhancement
The restaurant serves Italian cuisine and is open from 11 AM to 10 PM.,NEUTRAL,Synthetic example 3 for Round 2 data enhancement
The book contains 300 pages and was published by Academic Press.,NEUTRAL,Synthetic example 4 for Round 2 data enhancement
The simple traffic report was expanded to include unrelated political commentary and personal opinions.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 1 for Round 2 data enhancement
The basic weather forecast included unnecessary details about the meteorologist's personal life.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 2 for Round 2 data enhancement
The straightforward product announcement was padded with irrelevant company history and executive biographies.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 3 for Round 2 data enhancement
The brief safety notice was extended with unrelated legal disclaimers and marketing content.,ADDED_INAPPLICABLE_DATA_OUT,Synthetic example 4 for Round 2 data enhancement
The company reported record profits but didn't mention the massive layoffs.,OMITTED_DATA_OUT,Synthetic example 1 for Round 2 data enhancement
The study showed positive results without disclosing the funding source.,OMITTED_DATA_OUT,Synthetic example 2 for Round 2 data enhancement
The safety report highlighted improvements but omitted recent accident statistics.,OMITTED_DATA_OUT,Synthetic example 3 for Round 2 data enhancement
The product review praised features while ignoring known defects.,OMITTED_DATA_OUT,Synthetic example 4 for Round 2 data enhancement
"The report claims unemployment is down, but recent statistics show it increased by 2%.",CONTRARY_FACTS_OUT,Synthetic example 1 for Round 2 data enhancement
"The article states the event was peaceful, contradicting multiple eyewitness accounts of violence.",CONTRARY_FACTS_OUT,Synthetic example 2 for Round 2 data enhancement
The company claims environmental compliance while facing multiple pollution violations.,CONTRARY_FACTS_OUT,Synthetic example 3 for Round 2 data enhancement
The study concludes the treatment is safe despite documented adverse reactions.,CONTRARY_FACTS_OUT,Synthetic example 4 for Round 2 data enhancement
The article claims the population of Tokyo is 50 million when it's actually 14 million.,FALSEHOOD_OUT,Synthetic example 1 for Round 2 data enhancement
"The report states that water boils at 90°C, which is scientifically incorrect.",FALSEHOOD_OUT,Synthetic example 2 for Round 2 data enhancement
"The news claimed the election had 150% voter turnout, which is mathematically impossible.",FALSEHOOD_OUT,Synthetic example 3 for Round 2 data enhancement
The study reported that humans have 48 chromosomes when we actually have 46.,FALSEHOOD_OUT,Synthetic example 4 for Round 2 data enhancement
Minor celebrity gossip was given front-page coverage while major policy changes were buried.,ALTERED_IMPORTANCE_OUT,Synthetic example 1 for Round 2 data enhancement
The article emphasized a small price increase while downplaying significant safety improvements.,ALTERED_IMPORTANCE_OUT,Synthetic example 2 for Round 2 data enhancement
The report highlighted minor delays while minimizing major cost savings.,ALTERED_IMPORTANCE_OUT,Synthetic example 3 for Round 2 data enhancement
The news focused on trivial complaints while ignoring substantial achievements.,ALTERED_IMPORTANCE_OUT,Synthetic example 4 for Round 2 data enhancement
The report mentions the incident but doesn't specify when it occurred.,DROPPED_TIME_OUT,Synthetic example 1 for complete 28-category coverage
The meeting was held but no date or time was recorded in the minutes.,DROPPED_TIME_OUT,Synthetic example 2 for complete 28-category coverage
The contract was signed without any timestamp or date notation.,DROPPED_TIME_OUT,Synthetic example 3 for complete 28-category coverage
The financial report cited Wikipedia as the source for market data.,WRONG_SOURCE_OUT,Synthetic example 1 for complete 28-category coverage
The medical study referenced a blog post instead of peer-reviewed research.,WRONG_SOURCE_OUT,Synthetic example 2 for complete 28-category coverage
The legal brief quoted social media comments as authoritative law.,WRONG_SOURCE_OUT,Synthetic example 3 for complete 28-category coverage
The 5-minute task somehow took 3 hours to complete.,ADDED_TIME_OUT,Synthetic example 1 for complete 28-category coverage
The instant download required 2 days of processing time.,ADDED_TIME_OUT,Synthetic example 2 for complete 28-category coverage
The brief phone call lasted longer than a full work day.,ADDED_TIME_OUT,Synthetic example 3 for complete 28-category coverage
The car manual included instructions for operating a boat engine.,INCORRECTLY_INCLUDED_DATUM_OUT,Synthetic example 1 for complete 28-category coverage
The cooking recipe contained steps for assembling furniture.,INCORRECTLY_INCLUDED_DATUM_OUT,Synthetic example 2 for complete 28-category coverage
The software documentation included medical treatment procedures.,INCORRECTLY_INCLUDED_DATUM_OUT,Synthetic example 3 for complete 28-category coverage
The report treated cats and cars as similar because both start with 'ca'.,ASSUMED_SIMILARITIES_NOT_SIMILAR_OUT,Synthetic example 1 for complete 28-category coverage
The analysis compared apples and mathematics because both can be counted.,ASSUMED_SIMILARITIES_NOT_SIMILAR_OUT,Synthetic example 2 for complete 28-category coverage
The study grouped swimming and flying as identical activities.,ASSUMED_SIMILARITIES_NOT_SIMILAR_OUT,Synthetic example 3 for complete 28-category coverage
The report treated identical twins as completely different people.,ASSUMED_DIFFERENCES_NOT_DIFFERENT_OUT,Synthetic example 1 for complete 28-category coverage
The analysis separated 'automobile' and 'car' as different categories.,ASSUMED_DIFFERENCES_NOT_DIFFERENT_OUT,Synthetic example 2 for complete 28-category coverage
The study classified 'happy' and 'joyful' as opposite emotions.,ASSUMED_DIFFERENCES_NOT_DIFFERENT_OUT,Synthetic example 3 for complete 28-category coverage
"The earthquake report included relevant geological data, population density, and building codes.",RELATED_FACTS_KNOWN_PLUS,Synthetic example 1 for complete 28-category coverage
"The market analysis referenced current economic indicators, historical trends, and regulatory changes.",RELATED_FACTS_KNOWN_PLUS,Synthetic example 2 for complete 28-category coverage
"The medical diagnosis considered symptoms, patient history, and recent test results.",RELATED_FACTS_KNOWN_PLUS,Synthetic example 3 for complete 28-category coverage
The pizza delivery arrived within the promised 30-minute window.,EXPECTED_TIME_PERIOD_PLUS,Synthetic example 1 for complete 28-category coverage
The construction project was completed on schedule after 6 months.,EXPECTED_TIME_PERIOD_PLUS,Synthetic example 2 for complete 28-category coverage
The software update installed in the expected 10-minute timeframe.,EXPECTED_TIME_PERIOD_PLUS,Synthetic example 3 for complete 28-category coverage
The weather report included only relevant meteorological information for the local area.,APPLICABLE_DATA_PLUS,Synthetic example 1 for complete 28-category coverage
The financial statement contained pertinent data about company performance and assets.,APPLICABLE_DATA_PLUS,Synthetic example 2 for complete 28-category coverage
The medical chart recorded only relevant symptoms and treatment information.,APPLICABLE_DATA_PLUS,Synthetic example 3 for complete 28-category coverage
The investigation correctly focused on the actual source of the problem.,CORRECT_TARGET_PLUS,Synthetic example 1 for complete 28-category coverage
The marketing campaign targeted the appropriate demographic for the product.,CORRECT_TARGET_PLUS,Synthetic example 2 for complete 28-category coverage
The repair efforts addressed the root cause rather than symptoms.,CORRECT_TARGET_PLUS,Synthetic example 3 for complete 28-category coverage
"All financial data was properly categorized as revenue, expenses, or assets.",DATA_IN_SAME_CLASSIFICATION_PLUS,Synthetic example 1 for complete 28-category coverage
The inventory system correctly grouped similar items in the same categories.,DATA_IN_SAME_CLASSIFICATION_PLUS,Synthetic example 2 for complete 28-category coverage
The research data was appropriately classified by methodology and subject.,DATA_IN_SAME_CLASSIFICATION_PLUS,Synthetic example 3 for complete 28-category coverage
The system correctly recognized that 'John Smith' and 'J. Smith' refer to the same person.,IDENTITIES_ARE_IDENTICAL_PLUS,Synthetic example 1 for complete 28-category coverage
The database properly identified duplicate entries as the same record.,IDENTITIES_ARE_IDENTICAL_PLUS,Synthetic example 2 for complete 28-category coverage
The analysis correctly treated 'USA' and 'United States' as identical entities.,IDENTITIES_ARE_IDENTICAL_PLUS,Synthetic example 3 for complete 28-category coverage
The comparison correctly identified that both cars and trucks are motor vehicles.,SIMILARITIES_ARE_SIMILAR_PLUS,Synthetic example 1 for complete 28-category coverage
The analysis properly grouped cats and dogs as similar domestic animals.,SIMILARITIES_ARE_SIMILAR_PLUS,Synthetic example 2 for complete 28-category coverage
The study appropriately classified running and jogging as similar activities.,SIMILARITIES_ARE_SIMILAR_PLUS,Synthetic example 3 for complete 28-category coverage
The report correctly distinguished between revenue and profit as different concepts.,DIFFERENCES_ARE_DIFFERENT_PLUS,Synthetic example 1 for complete 28-category coverage
The analysis properly separated cats from dogs as different species.,DIFFERENCES_ARE_DIFFERENT_PLUS,Synthetic example 2 for complete 28-category coverage
The study appropriately differentiated between correlation and causation.,DIFFERENCES_ARE_DIFFERENT_PLUS,Synthetic example 3 for complete 28-category coverage
